Word:			1	1b	2	2b	3	3b	4	4b	5	5b
ungratified		0	0	0	0	0	0.00015	0	0	0	0
floor			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
recommend		0.00016	0	0.00015	0	0	0	0	0	0	0
virile			0.00016	0	0	0	0	0	0	6e-05	0	0
navy			0	0	0.00021	0	0	0	0	0	0	0
sleeve			0	8e-05	0	4e-05	0	3e-05	5e-05	2e-05	0	4e-05
peter			0	0	0.00041	0.00031	4e-05	0.00023	0.00012	0.00023	7e-05	4e-05
explained		0	0	9e-05	0	7e-05	3e-05	2e-05	9e-05	0	8e-05
summoned		0	0	0	0	4e-05	0	4e-05	6e-05	6e-05	0
belittling		0	0	0	0	0.00011	0	0	0	0	0
brightening		0.00024	0	0	0	0	0	0	0	0	0
sloshed			0	0	0	0	0	0	0	0	0.00015	0
physical		0	0	0	0.00011	3e-05	4e-05	3e-05	0	4e-05	0
hollers			0	0	0	0	0.00011	0	0	0	0	0
vaults			0	0	0	0	0	0.00015	0	0	0	0
chaperonage		0	0	0.00011	0	6e-05	0	0.00011	0	0	0
forest			0	4e-05	0	4e-05	2e-05	0.0001	0	2e-05	0	4e-05
tarnish			0	0	0	0	0	0	0	0	0.00015	0
demoralization		0	0	0.00021	0	0	0	0	0	0	0
squiring		0.00024	0	0	0	0	0	0	0	0	0
tales			0	7e-05	0	0	4e-05	0	8e-05	6e-05	0	0
enameled		0	0	0.00021	0	0	0	0	0	0	0
brushin'		0	0	0	0	0	0	0.00011	0	0	0
bet			0.00015	3e-05	0.0001	0	3e-05	0	5e-05	0.00016	7e-05	0
created			0	0	0.00011	0.0001	0	0	6e-05	0	0	0
jutting			0	0.00018	0	0	0	0	0	0	0	0
recount			0	0	0	0	0	0	7e-05	0	0	0.00013
group			0	0.00025	6e-05	0.00013	2e-05	0	2e-05	3e-05	6e-05	2e-05
reverently		0	0	0	0	0	0	6e-05	4e-05	0	0.0001
unbowed			0.00024	0	0	0	0	0	0	0	0	0
constructed		0	0	0.00021	0	0	0	0	0	0	0
dispatched		0	0	0	0	7e-05	0	7e-05	0	0	0
ordeal			0	0	0.00011	0	0.00011	0	0	4e-05	0	0
comyere			0	0	0	0	0	0.00015	0	0	0	0
horse's			5e-05	2e-05	2e-05	2e-05	0.0001	4e-05	3e-05	4e-05	0	0
judge			7e-05	0	6e-05	0	0	4e-05	0.00016	5e-05	0	0
incomplete		0	0	0	0.00019	0	0	0	0	0	0
darker			0	0	0	0	0	0	7e-05	0	0.0001	0
heartbroken		0	0	0.0003	0	7e-05	0	0	0	0	0
sam			0	7e-05	0	0	0.00034	6e-05	0	0.00112	0	0
repair			0	0	0	0	4e-05	6e-05	0.00013	0	0.00012	0
kinely			0	0	0	0	0	0	0	8e-05	0	0
deferentially		0	0	0.00021	0	0	0	0	0	0	0
broadcloth		5e-05	8e-05	5e-05	4e-05	0	0	7e-05	0	0	4e-05
quietness		7e-05	0	0	0	0	4e-05	3e-05	2e-05	4e-05	0
pray			1e-05	4e-05	3e-05	2e-05	2e-05	3e-05	0	0.0	3e-05	1e-05
warn			0	0	0	0.00011	0	4e-05	3e-05	5e-05	4e-05	0
crackled		0.00016	0	0	0	0	0	0	0	0.0001	0
plaid			0	0.00014	0	8e-05	4e-05	0	8e-05	0	0	0
